Author,Year,n111,n11s,n101,n10s,n1s1,n1ss,n011,n01s,n001,n00s,n0s1,n0ss
Bofill,"	1997",5,47,0,2,5,49,1,12,2,39,3,51
Clark,"	1998",13,147,2,9,15,156,16,84,6,78,22,162
Dickinson,"	2002",NA,356,NA,137,85,493,NA,306,NA,193,71,499
Evron,"	2008",NA,NA,NA,NA,19,148,0,0,4,44,4,44
El_Kerdawy,"	2010",NA,NA,NA,NA,4,15,NA,NA,NA,NA,3,15
Gambling,"	1998",29,400,10,216,39,616,NA,159,NA,448,34,607
Grandjean,"	1979",NA,NA,NA,NA,0,30,NA,NA,NA,NA,1,60
Halpern,"	2004",12,124,0,0,12,124,7,51,5,67,12,118
Head,"	2002",10,53,0,3,10,56,0,2,7,58,7,60
Hogg,"	2000",NA,NA,NA,NA,7,53,NA,NA,NA,NA,6,52
Howell,"	2001",NA,123,NA,61,13,184,NA,52,NA,133,16,185
Jain,"	2003",7,43,2,2,9,45,0,0,11,83,11,83
Long,"	2003",NA,NA,NA,NA,1,30,NA,NA,NA,NA,6,50
Loughnan,"	2000",NA,257,NA,47,36,304,NA,175,NA,135,40,310
Lucas,"	2001",NA,321,NA,51,63,372,NA,NA,NA,NA,62,366
Muir,"	1996",NA,NA,NA,NA,3,28,NA,11,NA,11,2,22
Muir,"	2000",NA,NA,NA,NA,11,97,NA,18,NA,70,9,88
Nafisi,"	2006",24,197,0,0,24,197,0,0,19,198,19,198
Nikkola,"	1997",0,10,0,0,0,10,0,4,0,6,0,10
Philipsen,"	1989",NA,NA,NA,NA,10,57,NA,NA,NA,NA,6,54
Ramin,"	1995",39,432,2,232,41,664,8,103,17,563,25,666
Sharma,"	1997",12,243,1,115,13,358,0,5,16,352,16,357
Sharma,"	2002",15,214,1,12,16,226,NA,14,NA,219,20,233
Shifman,"	2007",NA,NA,NA,NA,15,60,NA,NA,NA,NA,18,50
Thalme,"	1974",NA,NA,NA,NA,6,14,NA,NA,NA,NA,4,14
Thorp,"	1993",NA,NA,NA,NA,12,48,NA,NA,NA,NA,1,45
Volmanen,"	2008",1,24,0,1,1,25,0,3,1,24,1,27
